Date;Puissance moyenne journaliere de injection RTE;Puissance moyenne journaliere du refoulement RTE;Puissance moyenne journaliere des pertes modelisees;Energie moyenne journaliere des consommations totales;Energie moyenne journaliere des consommations HTA profilees;Puissance moyenne journaliere de la production decentralisee totale;Puissance moyenne journaliere de la production decentralisee profilee;Puissance moyenne journaliere de la production photovoltaique profilee;Temperature moyenne journaliere realisee;Temperature moyenne journaliere normale;Temperature moyenne journaliere realisee lissee;Temperature moyenne journaliere normale lissee;Puissance moyenne journaliere de la production eolienne totale;Puissance moyenne journaliere de la production photovoltaique totale;Puissance moyenne journaliere de la production autre;mois;Puissance moyenne journaliere du soutirage net vers autres GRD;Energie moyenne journaliere des consommations HTA telerelevees a courbe de charge;Energie moyenne journaliere des consommations totales profilees;Puissance moyenne journaliere de la production decentralisee telerelevee a courbe de charge;Puissance moyenne journaliere de la production autre profilee;Categorie client;Puissance moyenne journaliere
2014-02-18;50801830041.6667;470014937.5;3477826610.77083;50648096379.7917;2214095336.70833;4328461191.6875;252921041.479167;217226638.5625;7.52291666666667;6.55208333333333;7.75833333333333;6.72708333333333;1505466065.8125;317454971.104167;2505575398.624996;2;534353305.1875;13507958155.0;37140138224.7917;4075540150.20833;5389751.0;Residentiels;22502862903.6875
2014-02-28;50883084208.3333;1241218354.16667;3484860807.75;51569551191.7292;2079573605.60417;5949130728.58333;278200527.958333;241809410.1875;6.21458333333333;7.1625;7.0;7.37916666666667;3068716120.4375;359755523.770833;2520639449.104163;2;536584583.3333333;12914128393.3333;38655422798.3958;5670930200.625;5389131.0;Entreprises;14993701998.93747
2014-02-28;50883084208.3333;1241218354.16667;3484860807.75;51569551191.7292;2079573605.60417;5949130728.58333;278200527.958333;241809410.1875;6.21458333333333;7.1625;7.0;7.37916666666667;3068716120.4375;359755523.770833;2520639449.104163;2;536584583.3333333;12914128393.3333;38655422798.3958;5670930200.625;5389131.0;PME / PMI;5883761025.91667
2014-03-06;47704981041.6667;371247500.0;3170744966.60417;47651391191.4167;1983569626.04167;4004097470.64583;316073485.020833;287630057.708333;8.0125;7.61145833333333;7.9;7.81666666666667;989148514.541667;625898169.645833;2389059894.166663;3;515694854.0833333;13151976860.4167;34499414331.0;3688023985.625;2133359.0;Professionnels;5990441625.20833
2014-03-08;38620053312.5;1095150854.16667;2747189041.5625;39788752457.6667;1211055487.3125;5439962131.16667;316076668.666667;287632966.541667;10.403125;7.74895833333333;9.53125;7.97083333333333;2354385912.625;643983239.375;2441586889.687496;3;428923090.3125;9372043962.70833;30416708494.9583;5123885462.5;2133218.0;Residentiels;19910170907.6875
2014-03-08;38620053312.5;1095150854.16667;2747189041.5625;39788752457.6667;1211055487.3125;5439962131.16667;316076668.666667;287632966.541667;10.403125;7.74895833333333;9.53125;7.97083333333333;2354385912.625;643983239.375;2441586889.687496;3;428923090.3125;9372043962.70833;30416708494.9583;5123885462.5;2133218.0;Entreprises;10583099450.02083
2014-03-25;46636331166.6667;486935791.666667;3069861761.72917;46909395275.375;1995292839.89583;4307640356.54167;391203134.458333;361940079.4375;6.91354166666667;9.32604166666667;7.7375;9.54166666666667;1309795134.02083;571309397.229167;2426535713.500004;3;477778694.458333;12775267832.2917;34134127443.0833;3916437222.08333;2129573.0;Professionnels;5915478497.97917
2014-04-04;39431962958.3333;472967750.0;2443458571.5625;38920111486.375;1816705394.64583;2778914057.97917;389191766.229167;364076835.020833;12.7670138888889;10.4809027777778;13.43125;10.6791666666667;1027878889.95833;558553694.541667;1192484176.8958333;4;374339208.354167;12427437028.4167;26492674458.0;2389722291.72917;2026656.0;PME / PMI;5108201371.91667
2014-04-05;34423857541.6667;561553791.666667;2366941419.77083;34114313233.8333;1194903175.04167;2957183091.125;392361313.3125;367437474.208333;12.9184027777778;10.584375;13.38125;10.79375;1080367573.9375;688090125.8125;1188731182.1666665;4;338232187.4375003;9135786374.33333;24978526859.5;2564821777.75;2025896.0;PME / PMI;4162384762.0625
2014-04-08;37277149520.8333;1554321187.5;2271834600.70833;37839077152.1042;1814518071.8125;4720179232.04167;404423940.375;378570916.75;11.8368055555556;10.959375;13.6395833333333;11.1708333333333;2948913064.125;633126978.375;1138132174.5416667;4;332095812.5000003;12855171521.3333;24983905630.8333;4315755291.625;2025079.0;Entreprises;14669689593.1458
2014-04-11;36769759187.5;476599416.666667;2227740055.04167;36654794483.3125;1646237843.45833;2926702128.75;405133448.125;379341038.75;13.0597222222222;11.346875;13.3145833333333;11.5583333333333;1057399282.64583;706591670.6875;1162715238.1458333;4;337327361.1875;12339683388.8542;24315111094.4167;2521568680.5625;2024847.0;Residentiels;13748156424.5
2014-04-11;36769759187.5;476599416.666667;2227740055.04167;36654794483.3125;1646237843.45833;2926702128.75;405133448.125;379341038.75;13.0597222222222;11.346875;13.3145833333333;11.5583333333333;1057399282.64583;706591670.6875;1162715238.1458333;4;337327361.1875;12339683388.8542;24315111094.4167;2521568680.5625;2024847.0;PME / PMI;4524351475.14583
2014-04-12;32389517083.3333;432624875.0;2189430693.58333;32111533040.0833;1086578383.47917;2658467462.85417;405132726.75;379340317.6875;12.9857638888889;11.459375;13.39375;11.6770833333333;760450499.833333;736974413.5;1161045557.3125;4;314395937.541667;9089268715.125;23022264324.9583;2253334736.0625;2024847.0;Entreprises;10175847098.60417
2014-04-22;38171388291.6667;192930979.166667;2341263868.10417;37365796811.375;1721237098.4375;2083997325.47917;434342686.541667;407847003.645833;12.8920138888889;12.771875;12.3833333333333;12.99375;422662703.416667;636152291.875;1025197122.2500007;4;355393958.2708337;12047895327.6875;25317901483.7708;1649654638.875;2356464.0;Residentiels;14291203167.25
2014-05-02;34295320791.6667;1248996166.66667;2039386884.35417;34941829699.625;1165686453.0;4245822556.125;444192855.208333;412964377.208333;12.3663194444444;14.0809027777778;12.6729166666667;14.3083333333333;2302783957.1875;663182701.354167;1279831050.208334;5;310930597.2500003;9801318359.0625;25140511340.5208;3801629700.95833;3915344.0;Residentiels;15871162034.9583
2014-05-02;34295320791.6667;1248996166.66667;2039386884.35417;34941829699.625;1165686453.0;4245822556.125;444192855.208333;412964377.208333;12.3663194444444;14.0809027777778;12.6729166666667;14.3083333333333;2302783957.1875;663182701.354167;1279831050.208334;5;310930597.2500003;9801318359.0625;25140511340.5208;3801629700.95833;3915344.0;Entreprises;10967004812.0625
2014-05-08;29644581812.5;1696168416.66667;1956710709.6875;30693247504.5208;796837563.395833;4956079665.52083;463705380.770833;430308318.916667;14.2138888888889;14.821875;14.4333333333333;15.0520833333333;2947450357.02083;803547698.6875;1205041614.9999998;5;254534847.20833367;8946895526.70833;21746351977.875;4492374284.70833;3914836.0;Residentiels;14290492742.2917
2014-05-09;31686635583.3333;2029959166.66667;1849870898.58333;32957794848.5625;1158438666.5;5415366587.4375;463978094.375;430299333.916667;15.8128472222222;14.971875;15.1458333333333;15.175;3453156249.52083;768896983.854167;1193288453.7916675;5;264377256.89583302;10331776660.0417;22626018188.4792;4951388493.10417;3914611.0;Entreprises;11490215326.5417
2014-05-11;27865334395.8333;3066786312.5;1810978712.39583;29349194694.75;786975066.0625;6600582122.39583;464008740.479167;430300269.708333;13.1392361111111;15.184375;14.3395833333333;15.425;4714378057.14583;738981998.666667;1147185675.0208337;5;238956798.666667;7620008722.66667;21729185972.1875;6136573381.9375;3914611.0;Entreprises;8406983788.72917
2014-05-11;27865334395.8333;3066786312.5;1810978712.39583;29349194694.75;786975066.0625;6600582122.39583;464008740.479167;430300269.708333;13.1392361111111;15.184375;14.3395833333333;15.425;4714378057.14583;738981998.666667;1147185675.0208337;5;238956798.666667;7620008722.66667;21729185972.1875;6136573381.9375;3914611.0;PME / PMI;3211903466.29167
2014-05-14;37175236520.8333;660589270.833333;2258540124.33333;37104282866.7708;1801371131.75;3181543949.45833;474380886.958333;440875310.395833;12.3159722222222;15.546875;12.725;15.7729166666667;1187624601.85417;872561488.8125;1121313245.3749998;5;333368208.3541667;12817996158.5;24286286708.2292;2707163062.5;3914705.0;Entreprises;14619367290.25
2014-05-26;34806656208.3333;436877270.833333;2086097672.02083;34547704185.9375;1603036768.10417;2574392823.20833;491552420.4375;458611771.895833;14.0628472222222;16.884375;14.5104166666667;17.13125;716044898.083333;721889589.020833;1136460815.0416663;5;310369902.8333333;12048500129.7292;22499204056.2708;2082840402.77083;3914899.0;Professionnels;3890657474.27083
